Generation	|	Fitness	|	Max Fitness
0	|	-192.2	|	-89.0
1	|	-187.57333333333332	|	-87.0
2	|	-179.77	|	-86.0
3	|	-171.79	|	-86.0
4	|	-157.42666666666668	|	-86.0
5	|	-147.65666666666667	|	-86.0
6	|	-142.05	|	-86.0
7	|	-139.26333333333332	|	-86.0
8	|	-140.21	|	-86.0
9	|	-135.34666666666666	|	-86.0
10	|	-131.74	|	-86.0
11	|	-132.62	|	-86.0
12	|	-136.19333333333333	|	-86.0
13	|	-130.08333333333334	|	-86.0
14	|	-129.78333333333333	|	-86.0
15	|	-128.79333333333332	|	-86.0
16	|	-123.82666666666667	|	-86.0
