Generation	|	Fitness	|	Max Fitness
0	|	-3.7424113236927966e+35	|	77.53474708929915
1	|	-1.1460868101061776e+39	|	75.77155124940502
2	|	-3703941.2867705924	|	120.58960958493793
3	|	-20926.561294173793	|	123.99955423960805
4	|	-1575.1107790879382	|	240.53007198375565
5	|	-1039.012925833464	|	245.29181253410235
6	|	-2230.990119513672	|	246.9395015828978
7	|	57.28490164224496	|	247.53855203492364
8	|	94.81925549272725	|	247.34174095047607
9	|	99.1668429421446	|	247.5592652413122
10	|	95.20940492214424	|	247.45717132577886
11	|	80.7703375191078	|	246.5182080283505
12	|	117.87159317501704	|	247.41758396202874
13	|	117.48510812106271	|	247.98489892965404
14	|	118.23956333310358	|	247.776744421002
15	|	124.31631886152684	|	245.77843512205152
16	|	116.50020174153241	|	247.1041496621668
17	|	112.94940286068554	|	246.72515936467107
18	|	128.03046573035274	|	247.14530533348886
19	|	126.87809091232047	|	247.86630528530895
20	|	130.39641369059518	|	247.61864748097494
21	|	124.4319554980782	|	247.49688065311062
22	|	126.60803344040903	|	247.11178514307144
23	|	129.37885609598402	|	247.74193010691053
24	|	116.9092924095453	|	247.45630267232335
25	|	121.77504370943248	|	246.96524083753087
26	|	86.1756901322338	|	247.9791015914956
27	|	73.85180482398064	|	245.910804034792
28	|	124.92905453637344	|	251.15750699646136
29	|	120.0750754765759	|	247.74901708742087
30	|	119.28424461510949	|	246.62021202318192
31	|	-174.4419847907938	|	246.77562265705478
32	|	122.74902605184633	|	245.95593092119879
33	|	-1041.263904908956	|	247.8654770174037
34	|	129.72415710185808	|	246.5418703930699
35	|	123.25066701707746	|	247.14149912989149
36	|	122.83310941839729	|	246.76211783001364
37	|	-23680.291976986846	|	246.87659884501693
38	|	125.49181600436627	|	247.8208438125612
39	|	126.8957829585076	|	245.8762567015841
40	|	124.76917017924869	|	247.5364231640302
41	|	118.87785483079138	|	244.50694923827857
42	|	-67710.08796610028	|	246.62360076280933
43	|	122.54726866226665	|	247.46623248131107
44	|	-914722.154543088	|	247.83229637849618
45	|	119.38290752818716	|	247.08673216743836
46	|	119.56040013802037	|	247.67257854735342
47	|	128.01141896089402	|	246.37125140197506
48	|	129.937231542045	|	247.246657121765
49	|	9.184162649324618	|	247.75643665092255
50	|	128.37922750745622	|	247.25706586464625
51	|	102.94037468433909	|	247.63354386105442
52	|	129.17058421965947	|	247.82936239822172
53	|	127.10905223382824	|	247.96600328832207
54	|	124.38572243767435	|	247.12443830181263
55	|	117.24003352926779	|	247.46863047062743
56	|	125.81815440529016	|	246.7886009702175
57	|	127.71145648434438	|	247.34606679470724
58	|	110.28356968100007	|	247.288265675072
59	|	123.47502442551765	|	248.05025175578282
60	|	-303.82493844490074	|	247.90976954978743
61	|	14.126913065324988	|	246.49767322738853
62	|	127.0395622750449	|	246.29768633687547
63	|	124.88874180502457	|	247.01342954482783
64	|	123.51568394873576	|	248.01100652050212
65	|	56.40905542235818	|	246.48789381698674
66	|	115.46745791650618	|	246.67129946178312
67	|	117.40524987819869	|	247.43905695662744
68	|	30.488324648245126	|	246.66664118346205
69	|	122.22807795803307	|	247.13157538994145
70	|	123.30268389224119	|	247.34355309567323
71	|	127.22115172222142	|	244.85729724375565
72	|	-34.28688554611438	|	244.72809630509212
73	|	19.195596766985826	|	248.03694489039023
74	|	119.09475618818253	|	247.24963091551862
75	|	126.9445877140056	|	247.6303150319623
76	|	123.69821676656139	|	247.35430073800424
77	|	124.49991673338673	|	246.69174887853782
78	|	124.0002646216074	|	247.90042228751668
79	|	-14237.919068910389	|	247.45249827257177
80	|	41.760320681759545	|	247.21021392741358
81	|	-17.494404625394427	|	247.5015767708125
82	|	125.97436294914117	|	247.51861510467324
83	|	122.96419932826174	|	246.91354468890302
84	|	122.02485230006702	|	247.66491945301573
85	|	36.477973710070934	|	246.98372599165546
86	|	119.45605495475017	|	247.60839575213228
87	|	121.26787225270336	|	246.91623106988715
88	|	121.20099854878046	|	247.15316370844036
89	|	123.99700524061505	|	246.43134469319278
90	|	122.79468361904442	|	247.1657543636314
91	|	122.93522563472052	|	247.60598729446957
92	|	-23053832.078657743	|	247.19170229656044
93	|	53.71993487633726	|	247.16757083618552
94	|	123.43115790403462	|	247.829196692111
95	|	124.60501861705464	|	246.80914925197527
96	|	120.15344644441019	|	247.42266889270033
97	|	-244.8612413184749	|	246.66951766968526
98	|	123.20106744229355	|	247.10540099118433
99	|	122.49531522204323	|	246.37420373022343
100	|	124.43610717821619	|	247.5515880605122
101	|	121.82498512741843	|	246.45924084004866
102	|	122.53891839682355	|	245.79007733084464
103	|	10.143281791611685	|	247.36039830992277
104	|	127.11714099647969	|	246.7031601998255
105	|	124.75178791557434	|	246.89026976772865
106	|	123.58877024528202	|	246.58854931040952
107	|	-341.20325772414753	|	246.97121122733026
108	|	128.08408118767647	|	247.787548175959
109	|	123.74933323470087	|	247.26693448720422
110	|	123.74659120162393	|	246.04188326653826
111	|	124.15934934715241	|	247.4053524331127
112	|	118.95682401076824	|	245.94326968196376
113	|	121.01245200052826	|	247.54354097950957
114	|	123.58295515131094	|	247.16248823050347
115	|	130.1537768293638	|	247.79354320480604
116	|	123.22889813300303	|	246.58198579052362
117	|	128.04093554698775	|	247.8260411069518
118	|	125.44924645427427	|	246.48636106186538
119	|	-1427.6767440961573	|	246.43805779714756
120	|	119.19636580728584	|	254.6154892897384
121	|	118.85550153753701	|	248.10539785252814
122	|	125.87108725406159	|	246.32936300114096
